times,day,time,temp,hr
1,12/21/2022,20:05:28,20.8,93
2,12/21/2022,20:06:00,20.4,93
3,12/21/2022,20:06:32,20.4,93
4,12/21/2022,20:07:03,20.3,93
5,12/21/2022,20:07:36,20.3,93
6,12/21/2022,20:08:07,20.3,93
7,12/21/2022,20:08:39,20.3,93
8,12/21/2022,20:09:10,20.3,93
9,12/21/2022,20:09:43,20.3,93
10,12/21/2022,20:10:14,20.3,93
11,12/21/2022,20:10:46,20.2,93
12,12/21/2022,20:11:18,20.2,93
13,12/21/2022,20:11:50,20.2,93
14,12/21/2022,20:12:21,20.2,93
15,12/21/2022,20:12:54,20.1,93
16,12/21/2022,20:13:26,20.1,93
17,12/21/2022,20:13:57,20.1,93
18,12/21/2022,20:14:31,20.1,93
19,12/21/2022,20:15:03,20.1,93
20,12/21/2022,20:15:34,20.1,93
21,12/21/2022,20:16:07,20.1,93
22,12/21/2022,20:16:38,20.1,93
23,12/21/2022,20:17:10,20.1,93
24,12/21/2022,20:17:41,20,93
25,12/21/2022,20:18:13,20,93
26,12/21/2022,20:18:44,20,93
27,12/21/2022,20:19:17,20.1,93
28,12/21/2022,20:19:50,20.1,93
29,12/21/2022,20:20:23,20,93
30,12/21/2022,20:20:54,20,93
31,12/21/2022,20:21:26,20,93
32,12/21/2022,20:21:57,20,93
33,12/21/2022,20:22:31,20,93
34,12/21/2022,20:23:02,20,93
35,12/21/2022,20:23:35,20,93
36,12/21/2022,20:24:06,20,93
37,12/21/2022,20:24:38,20,93
38,12/21/2022,20:25:09,20,93
39,12/21/2022,20:25:42,19.9,93
40,12/21/2022,20:26:13,20,93
41,12/21/2022,20:26:45,19.9,93
42,12/21/2022,20:27:18,19.9,93
43,12/21/2022,20:27:50,19.9,93
44,12/21/2022,20:28:21,19.9,93
45,12/21/2022,20:28:54,19.9,93
46,12/21/2022,20:29:27,19.9,93
47,12/21/2022,20:29:59,19.9,93
48,12/21/2022,20:30:32,19.9,93
49,12/21/2022,20:31:04,19.9,93
50,12/21/2022,20:31:35,19.9,93
51,12/21/2022,20:32:08,19.9,93
