times,day,time,temp,hr
1,1970-01-01,07:00:51,24.3,82
2,2022-12-26,13:15:50,26,73
3,2022-12-26,13:16:02,26.1,73
4,2022-12-26,13:16:14,26.1,73
5,2022-12-26,13:16:27,26.1,73
6,2022-12-26,13:16:41,26.1,73
7,2022-12-26,13:16:53,26.1,72
8,2022-12-26,13:17:06,26.1,73
9,2022-12-26,13:17:18,26.1,73
10,2022-12-26,13:17:31,26.1,73
11,2022-12-26,13:17:43,26.1,73
12,2022-12-26,13:17:55,26.1,73
13,2022-12-26,13:18:32,26.1,73
14,2022-12-26,13:18:46,26.1,72
15,2022-12-26,13:19:01,26,73
16,2022-12-26,13:19:17,26,73
17,2022-12-26,13:19:32,26,72
18,2022-12-26,13:19:45,26,72
19,2022-12-26,13:19:57,26,72
20,2022-12-26,13:20:09,26,72
21,2022-12-26,13:20:26,26,73
22,2022-12-26,13:20:40,26,73
23,2022-12-26,13:20:52,26,73
24,2022-12-26,13:21:05,26,73
25,2022-12-26,13:21:17,26,72
26,2022-12-26,13:21:29,26,72
27,2022-12-26,13:21:45,26,72
28,2022-12-26,13:21:57,25.9,72
29,2022-12-26,13:22:11,25.9,72
30,2022-12-26,13:22:23,25.9,72
31,2022-12-26,13:22:35,25.9,72
32,2022-12-26,13:22:48,25.9,72
33,2022-12-26,13:23:01,25.9,72
34,2022-12-26,13:23:14,25.9,72
35,2022-12-26,13:24:06,25.9,72
36,2022-12-26,13:24:18,25.9,72
37,2022-12-26,13:24:30,25.9,72
38,2022-12-26,13:24:42,25.9,72
39,2022-12-26,13:24:54,25.9,72
40,2022-12-26,13:25:07,25.9,72
41,2022-12-26,13:25:19,25.9,72
42,2022-12-26,13:25:30,25.9,72
43,2022-12-26,13:25:43,25.9,72
44,2022-12-26,13:25:56,25.9,72
45,2022-12-26,13:26:09,25.9,72
46,2022-12-26,13:26:21,25.9,72
47,2022-12-26,13:26:34,25.9,72
48,2022-12-26,13:26:50,25.9,72
49,2022-12-26,13:27:05,25.9,72
50,2022-12-26,13:27:17,25.9,72
51,2022-12-26,13:27:29,25.9,72
52,2022-12-26,13:27:42,25.9,72
53,2022-12-26,13:27:54,25.9,72
54,2022-12-26,13:28:07,25.9,72
55,2022-12-26,13:28:20,25.9,72
56,2022-12-26,13:28:32,25.8,72
57,2022-12-26,13:28:44,25.8,72
58,2022-12-26,13:28:56,25.8,72
59,2022-12-26,13:29:07,25.9,72
60,2022-12-26,13:29:20,25.9,72
61,2022-12-26,13:29:32,25.9,72
62,2022-12-26,13:29:45,25.8,72
63,2022-12-26,13:29:57,25.9,72
64,2022-12-26,13:30:09,25.8,72
65,2022-12-26,13:30:22,25.8,72
66,2022-12-26,13:30:35,25.8,72
67,2022-12-26,13:30:47,25.9,72
68,2022-12-26,13:30:59,25.8,72
69,2022-12-26,13:31:11,25.8,72
70,2022-12-26,13:31:23,25.9,72
71,2022-12-26,13:31:36,25.8,72
72,2022-12-26,13:31:51,25.8,72
73,2022-12-26,13:32:11,25.8,72
74,2022-12-26,13:32:25,25.8,72
75,2022-12-26,13:32:37,25.8,72
76,2022-12-26,13:32:49,25.8,72
77,2022-12-26,13:33:02,25.8,72
78,2022-12-26,13:33:14,25.8,72
79,2022-12-26,13:33:26,25.8,72
80,2022-12-26,13:33:39,25.8,72
81,2022-12-26,13:33:51,25.8,72
82,2022-12-26,13:34:03,25.8,72
83,2022-12-26,13:34:16,25.8,72
84,2022-12-26,13:34:28,25.8,72
85,2022-12-26,13:34:40,25.8,72
86,2022-12-26,13:34:52,25.8,72
87,2022-12-26,13:35:05,25.9,72
88,2022-12-26,13:35:18,25.8,72
89,2022-12-26,13:35:31,25.8,72
90,2022-12-26,13:35:44,25.8,72
91,2022-12-26,13:35:57,25.8,72
92,2022-12-26,13:36:09,25.8,72
93,2022-12-26,13:36:21,25.8,72
94,2022-12-26,13:36:34,25.8,72
95,2022-12-26,13:36:46,25.8,72
96,2022-12-26,13:36:58,25.8,72
97,2022-12-26,13:37:10,25.8,72
98,2022-12-26,13:37:23,25.8,72
99,2022-12-26,13:37:36,25.8,72
100,2022-12-26,13:37:49,25.8,72
101,2022-12-26,13:38:00,25.8,72
